"","trick","count"
"1","kickflip",35
"2","ollie",35
"3","fs kickflip",21
"4","bs 5050",19
"5","bs lipslide",18
"6","tre flip",16
"7","sw heelflip",13
"8","bs crook",12
"9","bs kickflip",12
"10","fs 5050",12
"11","bs bigspin",11
"12","fs smith",11
"13","wallie",11
"14","bs 180",10
"15","bs boardslide",10
"16","fs 180",10
"17","fs 5-0",10
"18","fs feeble",10
"19","hardflip",10
"20","bs overcrook",9
"21","fs shuv",9
"22","heelflip",9
"23","nollie kickflip",9
"24","bs smith",8
"25","fakie kickflip",8
"26","fs noseblunt",8
"27","fs blunt",7
"28","fs heelflip",7
"29","fs tailslide",7
"30","nollie bs kickflip",7
"31","nollie to bs crook",7
"32","sw fs heelflip",7
"33","sw kickflip",7
